date,title,media_type,url
01/01/2020,Betelgeuse Imagined,image,https://apod.nasa.gov/apod/image/2001/BetelgeuseImagined_EsoCalcada_960.jpg
02/01/2020,The Fainting of Betelgeuse,image,https://apod.nasa.gov/apod/image/2001/OrionTrees123019Westlake1024.jpg
03/01/2020,Quadrantids over the Great Wall,image,https://apod.nasa.gov/apod/image/2001/QuadrantidsChineseGreatWall_1067.jpg
04/01/2020,Aurora Slathers Up the Sky,image,https://apod.nasa.gov/apod/image/2001/aurora_iss052e007857_1024.jpg
05/01/2020,A Starry Night of Iceland,image,https://apod.nasa.gov/apod/image/2001/aurora_vetter_1080.jpg
06/01/2020,Tumultuous Clouds of Jupiter,image,https://apod.nasa.gov/apod/image/2001/JupiterClouds_JunoGill_960.jpg
07/01/2020,IC 405: The Flaming Star Nebula,image,https://apod.nasa.gov/apod/image/2001/IC405hp_ColesHelm_960.jpg
08/01/2020,Galaxies in the River,image,https://apod.nasa.gov/apod/image/2001/NGC1532-final3_1024r.jpg
09/01/2020,Perihelion to Aphelion,image,https://apod.nasa.gov/apod/image/2001/peri-api-sun1024.jpg
10/01/2020,Nacreous Clouds over Sweden,image,https://apod.nasa.gov/apod/image/2001/NacreousPMHeden.jpg
11/01/2020,NGC 602 and Beyond,image,https://apod.nasa.gov/apod/image/2001/ngc602_ChandraHubbleSpitzer_960.jpg
12/01/2020,Stars and Dust in Corona Australis,image,https://apod.nasa.gov/apod/image/2001/NGC6726_Schedler_960.jpg
13/01/2020,A Desert Eclipse,image,https://apod.nasa.gov/apod/image/2001/DesertEclipse_Daviron_960.jpg
14/01/2020,Evidence of an Active Volcano on Venus,image,https://apod.nasa.gov/apod/image/2001/IdunnMons_VenusExpress_1080.jpg
15/01/2020,Iridescent Clouds over Sweden,image,https://apod.nasa.gov/apod/image/2001/IridescentClouds_Strand_960.jpg
16/01/2020,NGC 247 and Friends,image,https://apod.nasa.gov/apod/image/2001/NGC247hager_1024.jpg
17/01/2020,Apollo 17: A Stereo View from Lunar Orbit,image,https://apod.nasa.gov/apod/image/2001/22466-22467anaVantuyne900.jpg
18/01/2020,An Almost Eclipse of the Moon,image,https://apod.nasa.gov/apod/image/2001/APOD-Soponyai-PenumbralEclipse1067.jpg
19/01/2020,M1: The Incredible Expanding Crab Nebula,video,https://www.youtube.com/embed/qL1f40NPG8w?rel=0
20/01/2020,Quadrantid Meteors through Orion,image,https://apod.nasa.gov/apod/image/2001/QuadrantidsOrion_Horalek_960.jpg
21/01/2020,Parker: Sounds of the Solar Wind,video,https://www.youtube.com/embed/hgzGET6owYk?rel=0
22/01/2020,The Hyades Star Cluster,image,https://apod.nasa.gov/apod/image/2001/Hyades_Mtanous_1080.jpg
23/01/2020,Globular Star Cluster NGC 6752,image,https://apod.nasa.gov/apod/image/2001/NGC6752LRGBcrop1024.jpg
24/01/2020,Into the  Shadow,image,https://apod.nasa.gov/apod/image/2001/IntoTheShadow_apod1024.jpg
25/01/2020,Rubin's Galaxy,image,https://apod.nasa.gov/apod/image/2001/RubinsGalaxy_hst1024.jpg
26/01/2020,"Hills, Ridges, and Tracks on Mars",image,https://apod.nasa.gov/apod/image/2001/HillsRidgesTracks_Curiosity_1080.jpg
27/01/2020,Comet CG Evaporates,image,https://apod.nasa.gov/apod/image/2001/Comet67P_Rosetta_1024.jpg
28/01/2020,Star Formation in the Tadpole Nebula,image,https://apod.nasa.gov/apod/image/2001/ic410_WISEantonucci_960.jpg
29/01/2020,Milky Way over Yellowstone,image,https://apod.nasa.gov/apod/image/2001/StoneyWay_Jacobs_960.jpg
30/01/2020,Two Clusters and a Comet,image,https://apod.nasa.gov/apod/image/2001/C2017T2_2020-01-24-26-28_posta1024.jpg
31/01/2020,Goldilocks Zones and Stars,image,https://apod.nasa.gov/apod/image/2001/STSCI-H-p2006a-h-1024x614.jpg
01/02/2020,Apollo 14 Heads for Home,image,https://apod.nasa.gov/apod/image/2002/AS14-71-9845v2wmktwtr4Jerry1024.jpg
02/02/2020,Zeta Oph: Runaway Star,image,https://apod.nasa.gov/apod/image/2002/ZetaOph_spitzer_960.jpg
03/02/2020,Solar Granules at Record High Resolution,video,https://www.youtube.com/embed/CCzl0quTDHw?rel=0
04/02/2020,A Sunset Night Sky over the Grand Canyon,image,https://apod.nasa.gov/apod/image/2002/GrandCanyonSunset_Fugate_960.jpg
05/02/2020,Lunar Eclipse Perspectives,image,https://apod.nasa.gov/apod/image/2002/LunarParallaxC_PonEtal_960_annotated.jpg
06/02/2020,Southern Moonscape,image,https://apod.nasa.gov/apod/image/2002/SouthernMoonscapeClaviusTycho1024.jpg
07/02/2020,NGC 7331 Close Up,image,https://apod.nasa.gov/apod/image/2002/potw1805b_ngc7331.jpg
08/02/2020,Cosmic Clouds in the Unicorn,image,https://apod.nasa.gov/apod/image/2002/ConeNebula_astrofalls1024.jpg
09/02/2020,To Fly Free in Space,image,https://apod.nasa.gov/apod/image/2002/freeflyer_nasa_960.jpg
10/02/2020,Solar Eclipse over the UAE,image,https://apod.nasa.gov/apod/image/2002/EclipseCamel_Cripps_960.jpg
11/02/2020,Launch of the Solar Orbiter,image,https://apod.nasa.gov/apod/image/2002/SolarOrbiterLaunch_Demeter_960.jpg
12/02/2020,Star Trails of the North and South,image,https://apod.nasa.gov/apod/image/2002/StarTrailsTree_Parchini_1080.jpg
13/02/2020,Spitzer's Trifid,image,https://apod.nasa.gov/apod/image/2002/trifid_spitzerR1024.jpg
14/02/2020,The Pale Blue Dot,image,https://apod.nasa.gov/apod/image/2002/PIA23645PaleBlueDot_c1024.jpg
15/02/2020,Carina Nebula Close Up,image,https://apod.nasa.gov/apod/image/2002/Eta-HST-ESO-New-LL1024.jpg
16/02/2020,NGC 2392: Double-Shelled Planetary Nebula,image,https://apod.nasa.gov/apod/image/2002/NGC2392_HubbleSchmidt_960.jpg
17/02/2020,The Changing Surface of Fading Betelgeuse,image,https://apod.nasa.gov/apod/image/2002/Betelgeuse2019_ESO_1080.jpg
18/02/2020,Orion over the Central Bohemian Highlands,image,https://apod.nasa.gov/apod/image/2002/OrionOverCzech_Bauer_960.jpg
19/02/2020,UGC 12591: The Fastest Rotating Galaxy Known,image,https://apod.nasa.gov/apod/image/2002/UGC12951_HubbleShatz_960.jpg
20/02/2020,Trifecta at Twilight,image,https://apod.nasa.gov/apod/image/2002/ISS_Moon_Mars_composite1024.jpg
21/02/2020,LDN 1622: Dark Nebula in Orion,image,https://apod.nasa.gov/apod/image/2002/ldn1622MinXie1024c.jpg
22/02/2020,Central Centaurus A,image,https://apod.nasa.gov/apod/image/2002/CenA_hst1000.jpg
23/02/2020,Illustris Simulation of the Universe,video,https://www.youtube.com/embed/QSivvdIyeG4?rel=0
24/02/2020,"Moon Corona, Halo, and Arcs over Manitoba",image,https://apod.nasa.gov/apod/image/2002/MoonHalo_Mckean_960.jpg
25/02/2020,Jupiter's Magnetic Field from Juno,video,https://www.youtube.com/embed/-N7nRh5v1Iw?rel=0
26/02/2020,NGTS-10b: Discovery of a Doomed Planet,image,https://apod.nasa.gov/apod/image/2002/HotJupiter_ESACarreau_960.jpg
27/02/2020,Two Hemisphere Night Sky,image,https://apod.nasa.gov/apod/image/2002/LaSillaLaPalma_Horalek_Casado_ZLCircle_viz_1124px.jpg
28/02/2020,South Celestial Rocket Launch,image,https://apod.nasa.gov/apod/image/2002/Stack10_electron1024.jpg
